iter	MultiClass
0	1.013825043
1	0.940474163
2	0.8759072561
3	0.8185305492
4	0.7674357069
5	0.7210409667
6	0.679540162
7	0.6426473337
8	0.6083632448
9	0.5770158996
10	0.5483426855
11	0.5216663155
12	0.4977621738
13	0.4750862265
14	0.4540251652
15	0.434452954
16	0.4162014289
17	0.3994477201
18	0.383620201
19	0.3688802585
20	0.3550942084
21	0.3419347899
22	0.3300862436
23	0.3190574917
24	0.3083965817
25	0.2967256814
26	0.2858019013
27	0.2757829911
28	0.2663885794
29	0.2577038732
30	0.2495096997
31	0.2418374589
32	0.2346398459
33	0.22771048
34	0.2212026034
35	0.2151333071
36	0.209292999
37	0.204051357
38	0.199176093
39	0.1943981954
40	0.1899024295
41	0.1857487511
42	0.1816831699
43	0.1779386115
44	0.1744589519
45	0.1709176984
46	0.1657798629
47	0.1613174761
48	0.1566295028
49	0.1546186951
50	0.1508665404
51	0.1486607666
52	0.1464559142
53	0.1431969792
54	0.1416835377
55	0.1385009292
56	0.1358374975
57	0.1332773406
58	0.1308333449
59	0.129582748
60	0.1282227764
61	0.1268738056
62	0.1258226888
63	0.124598801
64	0.1224815226
65	0.1206557447
66	0.1194141615
67	0.1183008373
68	0.1170472205
69	0.1158192207
70	0.1148327169
71	0.1139157762
72	0.1130322909
73	0.1122092035
74	0.1113929232
75	0.1106859322
76	0.1099535079
77	0.1092397906
78	0.1085090001
79	0.1078720223
80	0.1073405492
81	0.1068372927
82	0.1063102096
83	0.105148933
84	0.104493348
85	0.1037593211
86	0.1032311723
87	0.102791023
88	0.1023800303
89	0.101954224
90	0.101027484
91	0.1004995477
92	0.1001816103
93	0.099806908
94	0.09958343147
95	0.09867123563
96	0.09833515218
97	0.09803027898
98	0.09712096808
99	0.09691752025
100	0.09665382465
101	0.0962619745
102	0.09613899206
103	0.09572589738
104	0.09554074053
105	0.09481537895
106	0.09460562465
107	0.0942561697
108	0.09408565686
109	0.09397615014
110	0.09380906482
111	0.09370678146
112	0.09352932716
113	0.09325676669
114	0.09310110022
115	0.09297979405
116	0.09270857514
117	0.09253721105
118	0.09241704698
119	0.09233023998
120	0.09169015095
121	0.09165858337
122	0.09150858112
123	0.09099075652
124	0.09090092487
125	0.09058873734
126	0.09050558495
127	0.09034975377
128	0.0902484431
129	0.09018343551
130	0.0901023205
131	0.09000394221
132	0.08994148893
133	0.08983273335
134	0.08973953906
135	0.08960074954
136	0.08954304446
137	0.08946405338
138	0.08939347894
139	0.08923148102
140	0.08909868239
141	0.08899235654
142	0.08889698139
143	0.08881794399
144	0.08864069901
145	0.08857924743
146	0.08846173024
147	0.08824259265
148	0.08767863261
149	0.08758091109
150	0.08756172922
151	0.08746913837
152	0.08735720397
153	0.08728682639
154	0.08723722025
155	0.08720892524
156	0.08715280843
157	0.0870910813
158	0.08701624715
159	0.08690541399
160	0.08672234084
161	0.08667997469
162	0.08661119418
163	0.08656020704
164	0.08643598816
165	0.08637927278
166	0.08630370461
167	0.08622226645
168	0.08615766505
169	0.08608252216
170	0.08600201953
171	0.08595956103
172	0.08586022466
173	0.08535180371
174	0.08524569872
175	0.08524498305
176	0.08521666653
177	0.08515105684
178	0.08508960018
179	0.08504839342
180	0.08495475124
181	0.08481220476
182	0.08474981754
183	0.08471267176
184	0.08470408976
185	0.08464624273
186	0.08464621162
187	0.08462572802
188	0.08457064244
189	0.08453195801
190	0.08449095854
191	0.08438357244
192	0.08425370653
193	0.08423242076
194	0.08418636498
195	0.08412653898
196	0.08406963479
197	0.08400843917
198	0.08397804396
199	0.08388713505
200	0.0838609119
201	0.08378880986
202	0.08375131824
203	0.08373131032
204	0.08372709556
205	0.08370974047
206	0.08368081139
207	0.08367732328
208	0.08362409348
209	0.08358289209
210	0.08353423214
211	0.08348484316
212	0.08301075287
213	0.08300323254
214	0.08298049142
215	0.08292299678
216	0.08288201861
217	0.08285667199
218	0.08283634328
219	0.0827838343
220	0.08278383359
221	0.08276578868
222	0.08272844424
223	0.08267882423
224	0.08267625041
225	0.08265561129
226	0.08261184502
227	0.08255836767
228	0.08253343224
229	0.0825027445
230	0.08197448646
231	0.08195803145
232	0.08193581822
233	0.08189366897
234	0.08182341006
235	0.08182122219
236	0.08180757607
237	0.08176334256
238	0.08171256846
239	0.08169288171
240	0.08168046811
241	0.081637617
242	0.08162428023
243	0.0815051446
244	0.08147646937
245	0.08146542035
246	0.081442242
247	0.08139461332
248	0.08135579083
249	0.08133923617
250	0.08132645929
251	0.08132645875
252	0.08124626816
253	0.08121324393
254	0.08118970769
255	0.08117068541
256	0.08115544076
257	0.08114125051
258	0.08110362241
259	0.08107897813
260	0.0810723474
